team_id,meet_id,vt_score,ub_score,bb_score,fx_score,meet_score
15,29134,49.3750,49.5250,49.5500,49.4250,197.8750
71,29134,49.0000,49.0000,48.8500,49.2000,196.0500
15,29134,49.3750,49.5250,49.5500,49.4250,197.8750
71,29134,49.0000,49.0000,48.8500,49.2000,196.0500
15,29134,49.3750,49.5250,49.5500,49.4250,197.8750
71,29134,49.0000,49.0000,48.8500,49.2000,196.0500
15,29134,49.3750,49.5250,49.5500,49.4250,197.8750
71,29134,49.0000,49.0000,48.8500,49.2000,196.0500
